Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text
Tiger-Tiger-EMS-50142,Duran Duran / Tiger! Tiger! EMS-50142,1,9920.25,9920.25,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1984<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),EMI
If-I-Should-Love-Again-20RS-17,Barry Manilow / If I Should Love Again 20RS-17,1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1982<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Arista
Power-House-P-10444W,Deep Purple / Power House P-10444W,1,13888.35,13888.35,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1977<br /><br />0129",OBI van! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Warner Bros. Records
My-Favorite-Instrument-ULS-1698-P,Oscar Peterson / My Favorite Instrument ULS-1698-P,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1975<br /><br />0129",OBI nincs! Insert van!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),MPS Records
Rocksteady-SACD-63581,"Monty Alexander, Ernest Ranglin / Rocksteady SACD-63581",1,5158.53,5158.53,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2004<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Telarc
Right-In-My-Soul-EAGCD208,Candy Dulfer / Right In My Soul EAGCD208,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2003<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Eagle Records, Eagle Records"
Tree-People-LIP-8931-2,"Metro (12), Mitchel Forman, Chuck Loeb, Wolfgang Haffner, Victor Bailey / Tree People LIP 8931-2",1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1995<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Lipstick Records (3)
Look-Again-4019,Nelson Rangell / Look Again 4019,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2003<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),A440 Music Group
Jazz-Moods-Cool-COL-516431-2-5164312000,"Grover Washington, Jr. / Jazz Moods - Cool  COL 516431 2 - 5164312000",1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2004<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Columbia, Legacy"
Straight-To-You-HOMCD-7095,Brian Hughes / Straight To You HOMCD 7095,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1996<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Higher Octave Music, Higher Octave Jazz"
One-2-One-VHOCD-12,Brian Hughes / One 2 One VHOCD 12,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1998<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Higher Octave Jazz
Het-Eiland-In-De-Verte-986-614-7,Boudewijn de Groot / Het Eiland In De Verte 986 614-7,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Pop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Netherlands, 2004<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Very Good Plus (VG+),"Hans, Universal"
er-Nostra-Jewish-Gangsters-Greatest-Hits-AY-CD-13,"Oz Almog, Shantel / Kosher Nostra (Jewish Gangsters Greatest Hits) AY CD 13",1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2011<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Essay Recordings
Hands-On-The-Wheel-250353,Brad Wilson (2) / Hands On The Wheel 250353,1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2013<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),"Blues Boulevard, Music Avenue"
Blues-From-The-Heart-9031722,Various / Blues From The Heart 9031722,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Blues","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 2009<br /><br />0129",Karcmentes CDk!,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),LMM
